,production,sales ,demand,population,gdp,disbursement,interest_rate,months,years
90,323.0,303.0,295.0,134.6,226646.973,161532.02,8.75,7,2017
91,321.0,348.0,296.0,134.8,232428.303,159916.19,8.71,8,2017
92,359.0,377.0,398.0,134.9,238209.633,158300.36,8.67,9,2017
93,388.0,398.0,405.0,135.0,243990.963,156684.53,8.62,10,2017
94,689.0,664.0,681.0,135.2,248749.296,155068.7,8.58,11,2017
95,704.0,681.0,710.0,135.3,253507.629,153452.87,8.54,12,2017
96,755.0,734.0,783.0,135.4,258265.962,151837.04,8.5,1,2018
97,701.0,689.0,722.0,135.5,255961.962,151712.04,8.46,2,2018
98,429.0,421.0,449.0,135.7,253657.962,151587.04,8.42,3,2018
99,422.0,414.0,448.0,135.8,251353.962,151587.04,8.37,4,2018
100,443.0,423.0,460.0,135.9,247308.962,151462.04,8.33,5,2018
101,410.0,401.0,386.0,136.0,243263.962,151337.04,8.29,6,2018
102,396.0,383.0,375.0,136.2,239218.962,151212.04,8.25,7,2018
103,378.0,386.0,380.0,136.3,246475.295,151087.04,8.21,8,2018
104,386.0,369.0,395.0,136.4,253731.628,150962.04,8.17,9,2018
105,396.0,391.0,425.0,136.5,260987.961,150837.04,8.12,10,2018
106,691.0,673.0,702.0,136.7,265734.628,150712.04,8.08,11,2018
107,736.0,721.0,752.0,136.8,270481.295,150587.04,8.04,12,2018
108,791.0,771.0,764.0,136.9,275227.962,150337.0,8.0,1,2019
109,777.0,786.0,787.0,137.0,270061.292,150550.75,7.92,2,2019
110,445.0,434.0,343.0,137.1,264894.622,150764.5,7.83,3,2019
111,464.0,311.0,453.0,137.3,259727.952,150978.25,7.75,4,2019
112,369.0,195.0,354.0,137.4,253415.952,151192.0,7.67,5,2019
113,323.0,200.0,360.0,137.5,247103.952,151405.75,7.58,6,2019
114,360.0,256.0,310.0,137.6,240791.952,151619.5,7.5,7,2019
115,331.0,270.0,321.0,137.7,246430.619,151833.25,7.42,8,2019
116,333.0,260.0,315.0,137.8,252069.286,152047.0,7.33,9,2019
117,366.0,281.0,358.0,138.0,257707.953,152260.75,7.25,10,2019
118,771.0,531.0,750.0,138.1,265288.953,152474.5,7.17,11,2019
119,691.0,537.0,686.0,138.2,272869.953,152688.25,7.08,12,2019
120,675.0,514.0,686.0,138.3,280450.953,152902.0,7.0,1,2020
121,700.0,578.0,684.0,138.4,230779.653,156052.67,7.05,2,2020
122,419.0,500.0,486.0,138.5,181108.353,159203.33,7.1,3,2020
123,399.0,414.0,408.0,138.6,131437.053,162354.0,7.15,4,2020
124,425.0,405.0,405.0,138.8,162590.383,165504.67,7.2,5,2020
125,445.0,414.0,410.0,138.9,193743.713,168655.34,7.25,6,2020
126,356.0,336.0,386.0,139.0,224897.043,171806.0,7.3,7,2020
127,326.0,322.0,326.0,139.1,241515.373,174956.67,7.35,8,2020
128,388.0,423.0,388.0,139.2,258133.703,178107.34,7.4,9,2020
129,337.0,354.0,337.0,139.3,274752.033,181258.0,7.45,10,2020
130,731.0,717.0,784.0,139.4,293751.033,184408.67,7.5,11,2020
131,691.0,665.0,685.0,139.5,312750.033,187559.34,7.55,12,2020
132,821.0,809.0,810.0,139.6,331749.033,190710.0,7.6,1,2021
133,811.0,829.0,802.0,139.7,296221.433,192776.05,7.64,2,2021
134,467.0,511.0,524.0,139.8,260693.833,194842.1,7.68,3,2021
135,440.0,423.0,435.0,139.9,225166.0,196908.15,7.73,4,2021
136,489.0,439.0,428.0,140.0,231134.33,198974.19,7.77,5,2021
137,440.0,423.0,439.0,140.1,237102.66,201040.24,7.81,6,2021
138,388.0,382.0,400.0,140.2,243070.99,203106.29,7.85,7,2021
139,396.0,391.0,395.0,140.3,251071.99,205172.33,7.89,8,2021
140,406.0,420.0,415.0,140.4,259072.99,207238.38,7.93,9,2021
141,423.0,408.0,406.0,140.5,267073.99,209304.43,7.98,10,2021
142,830.0,843.0,858.0,140.6,290810.32,211370.47,8.02,11,2021
143,894.0,858.0,885.0,140.7,314546.65,213436.52,8.06,12,2021
144,825.0,823.0,835.0,140.8,338282.98,215502.57,8.1,1,2022
145,848.0,836.0,853.0,140.8,313161.38,217568.62,8.14,2,2022
146,531.0,514.0,625.0,140.9,288039.68,219634.66,8.18,3,2022
147,487.0,477.0,495.0,141.0,262917.98,221700.71,8.23,4,2022
148,531.0,514.0,596.0,141.1,261644.65,223766.76,8.27,5,2022
149,586.0,574.0,685.0,141.2,260371.32,225832.8,8.31,6,2022
150,434.0,430.0,547.0,141.3,259097.99,227898.85,8.35,7,2022
151,422.0,419.0,526.0,141.4,257824.66,229964.9,8.39,8,2022
152,433.0,431.0,502.0,141.5,256551.33,232030.94,8.43,9,2022
153,453.0,451.0,625.0,141.6,255278.0,234096.99,8.48,10,2022
154,903.0,895.0,900.0,141.7,254004.67,236163.04,8.6,11,2022
