,production,sales ,demand,population,gdp,disbursement,interest_rate,date
51,413.0,403.0,408.0,129.5,209578.98,106545.67,10.24,2014-04-01
52,411.0,397.0,398.0,129.7,208023.31,106928.5,10.24,2014-05-01
53,435.0,423.0,426.0,129.8,206467.64,107311.34,10.24,2014-06-01
54,325.0,313.0,312.0,129.9,204911.97,107694.17,10.23,2014-07-01
55,314.0,309.0,308.0,130.1,205460.637,108077.0,10.23,2014-08-01
56,302.0,314.0,298.0,130.2,206009.304,108459.84,10.23,2014-09-01
57,300.0,301.0,285.0,130.3,206557.971,108842.67,10.22,2014-10-01
58,612.0,621.0,618.0,130.5,209098.638,109225.5,10.22,2014-11-01
59,575.0,530.0,538.0,130.6,211639.305,109608.34,10.22,2014-12-01
60,531.0,503.0,531.0,130.7,214179.972,110374.0,10.22,2015-01-01
61,663.0,651.0,384.6,130.9,215537.639,113291.5,10.15,2015-02-01
62,400.0,380.0,374.6,131.0,216895.306,116209.0,10.08,2015-03-01
63,392.0,380.0,364.7,131.1,218252.973,119126.5,10.01,2015-04-01
64,382.0,375.0,354.8,131.2,214098.643,122044.0,9.94,2015-05-01
65,413.0,404.0,344.9,131.4,209944.313,124961.5,9.88,2015-06-01
66,314.0,308.0,335.0,131.5,205789.983,127879.0,9.81,2015-07-01
67,323.0,314.0,325.0,131.6,209342.983,130796.5,9.74,2015-08-01
68,311.0,343.0,325.0,131.8,212895.983,133714.0,9.67,2015-09-01
69,318.0,313.0,316.0,131.9,216448.983,136631.5,9.6,2015-10-01
70,609.0,591.0,592.0,132.0,219246.983,139549.0,9.54,2015-11-01
71,529.0,522.0,524.0,132.1,222044.983,142466.5,9.47,2015-12-01
72,583.0,574.0,575.0,132.3,224842.983,145384.0,9.4,2016-01-01
73,520.0,512.0,512.0,132.4,228075.65,147537.58,9.37,2016-02-01
74,381.0,322.0,372.0,132.5,231308.317,149691.17,9.33,2016-03-01
75,399.0,356.0,369.0,132.7,234540.984,151844.75,9.3,2016-04-01
76,403.0,391.0,403.0,132.8,230641.984,153998.33,9.27,2016-05-01
77,401.0,389.0,408.0,132.9,226742.984,156151.92,9.23,2016-06-01
78,380.0,369.0,379.0,133.1,222843.984,158305.5,9.2,2016-07-01
79,347.0,323.0,310.0,133.2,226038.317,160459.08,9.17,2016-08-01
80,314.0,304.0,329.0,133.3,229232.65,162612.66,9.13,2016-09-01
81,336.0,312.0,338.0,133.5,232426.983,164766.25,9.1,2016-10-01
82,697.0,674.0,689.0,133.6,230495.313,166919.83,9.07,2016-11-01
83,644.0,614.0,634.0,133.7,228563.643,169073.41,9.03,2016-12-01
84,721.0,700.0,708.0,133.9,226631.973,171227.0,9.0,2017-01-01
85,705.0,700.0,702.0,134.0,229554.973,169611.17,8.96,2017-02-01
86,380.0,350.0,354.0,134.1,232477.973,167995.34,8.92,2017-03-01
87,370.0,348.0,345.0,134.2,235400.973,166379.51,8.87,2017-04-01
88,361.0,334.0,322.0,134.4,232482.973,164763.68,8.83,2017-05-01
89,414.0,409.0,398.0,134.5,229564.973,163147.85,8.79,2017-06-01
90,323.0,303.0,295.0,134.6,226646.973,161532.02,8.75,2017-07-01
91,321.0,348.0,296.0,134.8,232428.303,159916.19,8.71,2017-08-01
92,359.0,377.0,398.0,134.9,238209.633,158300.36,8.67,2017-09-01
93,388.0,398.0,405.0,135.0,243990.963,156684.53,8.62,2017-10-01
94,689.0,664.0,681.0,135.2,248749.296,155068.7,8.58,2017-11-01
95,704.0,681.0,710.0,135.3,253507.629,153452.87,8.54,2017-12-01
96,755.0,734.0,783.0,135.4,258265.962,151837.04,8.5,2018-01-01
97,701.0,689.0,722.0,135.5,255961.962,151712.04,8.46,2018-02-01
98,429.0,421.0,449.0,135.7,253657.962,151587.04,8.42,2018-03-01
99,422.0,414.0,448.0,135.8,251353.962,151587.04,8.37,2018-04-01
100,443.0,423.0,460.0,135.9,247308.962,151462.04,8.33,2018-05-01
101,410.0,401.0,386.0,136.0,243263.962,151337.04,8.29,2018-06-01
102,396.0,383.0,375.0,136.2,239218.962,151212.04,8.25,2018-07-01
